index,Club,National_id,Club_Position,Club_Kit,Club_Joining
244,Udinese,a23,GK,1,07/18/2013
245,Crystal Palace,a7,LCB,12,09/02/2013
246,Sevilla FC,a7,RCB,23,07/01/2015
247,Galatasaray,a11,GK,1,08/11/2011
251,Bayer 04,a15,ST,7,08/31/2015
252,Athletic Bilbao,a1,LCM,7,06/26/2013
253,Bayer 04,a2,RDM,8,08/18/2009
254,Free Agents,a4,Res,99,01/03/2017
255,Everton,a7,LDM,2,01/12/2017
256,Everton,a4,LM,11,08/19/2012
257,Real Sociedad,a15,RW,11,07/01/2012
258,Sampdoria,a8,GK,2,06/30/2016
259,Manchester Utd,a29,RB,25,06/30/2009
260,Bor. Dortmund,a2,LCM,27,07/01/2015
261,AS Monaco,a14,RS,9,07/01/2013
262,Valencia CF,a3,GK,1,07/01/2011
263,Sassuolo,a8,GK,47,09/01/2014
264,AS Monaco,a6,Sub,8,07/01/2013
265,Spurs,a4,LCM,19,08/01/2012
266,Sevilla FC,a17,Sub,7,06/25/2015
267,AS Saint-tienne,a7,LCB,24,12/10/2004
268,Lazio,a5,CDM,20,07/20/2013
269,Stade Rennais,a7,GK,1,06/14/2011
270,Napoli,a1,RCB,33,07/21/2013
271,VfL Wolfsburg,a2,ST,33,08/17/2016
272,Atltico Madrid,a1,RCM,14,07/01/2011
273,RCD Espanyol,a1,GK,13,08/13/2014
274,Bor. M'gladbach,a3,LS,11,07/01/2013
275,Atalanta,a5,LS,10,09/02/2014
276,Fiorentina,a5,CB,2,08/03/2012
278,Orlando City,a3,Res,10,07/01/2014
279,Manchester City,a3,Sub,25,07/01/2013
280,NYCFC,a1,ST,7,07/01/2014
281,Middlesbrough,a1,GK,26,07/08/2016
282,Arsenal,a2,Sub,4,08/31/2011
283,Olym. Marseille,a7,LB,21,01/26/2017
284,FC Bayern,a1,Sub,14,08/29/2014
285,Manchester Utd,a9,CDM,16,08/31/2006
286,NYCFC,a8,CM,21,07/06/2015
287,FC Porto,a1,GK,1,07/12/2015
288,Bor. Dortmund,a7,RW,7,07/01/2016
289,Olym. Lyonnais,a7,LCM,8,08/01/2013
291,Fiorentina,a8,LF,10,07/01/2011
292,1899 Hoffenheim,a2,RCB,25,05/11/2013
293,Sassuolo,a8,RW,25,07/01/2012
294,Olym. Marseille,a7,LCM,8,01/18/2017
295,Villarreal CF,a1,RM,19,07/01/2015
296,PSG,a7,CDM,25,07/02/2012
297,FC Schalke 04,a2,CAM,8,07/02/2013
298,Spartak Moscow,a10,RM,10,08/08/2014
299,Torino,a8,ST,9,08/17/2015
300,1. FC Kln,a2,LB,14,02/25/2012
302,Sevilla FC,a1,GK,1,07/01/2012
303,Zenit,a25,LW,17,08/14/2013
304,Napoli,a8,Sub,8,01/18/2014
305,Olym. Marseille,a7,RW,26,08/19/2015
306,Chelsea,a4,Sub,23,07/04/2016
307,Real Sociedad,a1,LCB,6,08/01/2011
308,Milan,a1,RW,8,01/17/2015
309,Milan,a1,LW,7,07/01/2015
310,Lazio,a3,RW,10,07/09/2013
311,FC Barcelona,a10,Sub,13,08/25/2016
312,Sevilla FC,a7,Sub,12,07/30/2016
313,Arsenal,a1,Sub,9,08/30/2016
314,Everton,a9,RM,8,12/08/2010
316,Bor. Dortmund,a1,LCB,5,07/01/2016
317,Bor. Dortmund,a2,Sub,21,08/01/2016
318,Watford,a5,Sub,37,08/19/2016
319,Villarreal CF,a1,RB,2,07/01/2008
320,Valencia CF,a13,CAM,15,01/01/2013
321,Eint. Frankfurt,a42,GK,1,08/07/2015
322,Manchester Utd,a10,LB,17,09/01/2014
323,Athletic Bilbao,a1,RB,18,07/01/2009
325,Athletic Bilbao,a1,Sub,8,07/01/2008
326,Valencia CF,a1,LCM,10,07/01/2011
327,West Brom,a35,ST,9,08/10/2015
328,Sevilla FC,a6,Sub,6,06/23/2014
329,Sporting CP,a10,RS,28,08/28/2016
331,M laga CF,a1,RDM,6,12/28/2010
332,Free Agents,a3,Res,99,07/02/2015
333,CSKA Moscow,a25,RDM,10,01/01/2008
334,Zenit,a25,Sub,19,08/13/2013
335,Bor. M'gladbach,a2,RS,13,07/01/2015
336,OGC Nice,a8,ST,9,09/01/2016
337,Roma,a12,GK,1,07/01/2008
339,Athletic Bilbao,a1,RCM,6,07/01/2010
340,Crystal Palace,a4,ST,17,08/20/2016
341,Lazio,a8,RCM,16,07/01/2014
343,Southampton,a11,Res,12,02/16/2017
344,Liverpool,a10,LCM,5,07/26/2016
345,Roma,a5,CB,20,08/27/2014
346,Fenerbahe,a17,RCB,4,06/17/2015
347,Crystal Palace,a7,Sub,8,08/31/2014
348,FC Porto,a15,Sub,21,01/01/2016
349,Real Betis,a1,GK,13,01/27/2014
350,Sevilla FC,a7,Res,2,08/26/2014
351,Bor. Dortmund,a2,Res,6,07/01/2009
352,Olym. Lyonnais,a7,Sub,28,08/11/2015
353,1. FSV Mainz 05,a1,Sub,10,07/22/2014
354,Atltico Madrid,a5,Sub,12,01/04/2016
355,Inter,a8,RAM,87,08/03/2016
356,Fiorentina,a8,LCB,13,08/04/2015
357,Athletic Bilbao,a1,CAM,22,08/31/2015
358,LA Galaxy,a15,Sub,10,07/16/2015
359,Spurs,a5,Sub,11,08/30/2013
360,Stoke City,a9,RCB,17,01/17/2008
361,Spurs,a9,LWB,3,07/01/2007
362,Free Agents,a3,Res,99,02/10/2016
364,Arsenal,a9,RM,14,01/20/2006
365,Manchester City,a7,RB,3,07/01/2014
366,OGC Nice,a3,LCB,31,08/23/2016
368,Tigres,a7,ST,10,06/18/2015
369,Galatasaray,a2,ST,11,07/04/2015
370,Middlesbrough,a1,ST,10,07/01/2015
371,Manchester City,a5,Sub,5,08/31/2008
373,Giron. Bordeaux,a7,GK,16,07/01/2009
374,Real Betis,a1,ST,24,08/02/2010
375,FC Barcelona,a7,Sub,24,07/23/2014
376,M laga CF,a39,GK,1,01/13/2012
377,Atltico Madrid,a1,Sub,1,06/04/2014
378,Hertha BSC,a33,GK,22,01/01/2014
379,Sunderland,a9,ST,18,01/16/2015
380,PSG,a8,Sub,8,01/01/2012
381,Atltico Madrid,a1,Sub,9,07/04/2016
382,SL Benfica,a3,Sub,12,08/19/2014
383,Zenit,a6,Sub,10,08/26/2008
384,Chelsea,a9,Sub,26,10/28/1998
385,Antalyaspor,a39,ST,9,07/01/2015
386,Atltico Madrid,a6,Sub,5,07/17/2011
387,Sporting CP,a6,RM,77,07/01/2014
388,Manchester City,a2,LW,19,08/02/2016
389,Bor. Dortmund,a2,RCM,33,07/01/2015
390,Olym. Lyonnais,a7,CAM,18,07/01/2013
392,Athletic Bilbao,a1,RW,11,08/01/2012
393,Fiorentina,a8,Sub,57,06/22/2012
396,AS Monaco,a7,LM,27,06/27/2015
397,FC Bayern,a7,Sub,29,07/01/2014
398,Roma,a3,Sub,19,07/06/2016
399,FC Bayern,a2,Sub,32,07/01/2015
400,Bayer 04,a2,LM,19,01/01/2014
402,Galatasaray,a6,LM,20,09/03/2013
403,Juventus,a8,Sub,24,02/04/2015
404,Bor. Dortmund,a6,LM,13,07/01/2016
405,AS Monaco,a3,RDM,2,07/01/2012
406,Leicester City,a9,LS,9,05/01/2012
408,RB Leipzig,a21,LAM,10,01/07/2015
409,Atltico Madrid,a1,LCM,8,05/01/2012
410,FC Porto,a3,RCB,28,07/01/2016
412,Manchester Utd,a9,Sub,23,06/27/2014
413,RCD Espanyol,a3,Sub,11,07/09/2016
414,Roma,a2,LCB,2,06/30/2016
416,FC Barcelona,a1,Sub,6,07/04/2016
417,Chelsea,a7,Sub,5,01/31/2014
418,Hertha BSC,a26,LCB,25,07/01/2011
419,Arsenal,a1,RB,24,07/01/2014
420,Bor. M'gladbach,a4,Sub,10,07/01/2015
421,Ajax,a10,RCM,10,07/01/2009
422,AS Monaco,a7,LS,18,07/01/2011
423,VfL Wolfsburg,a7,Sub,9,01/09/2017
424,PSG,a7,LB,20,08/27/2015
425,FC Barcelona,a3,RM,12,07/03/2014
426,Inter,a14,LCB,24,07/03/2015
427,Fiorentina,a8,Sub,21,07/01/2015
428,AS Monaco,a7,RB,19,07/09/2016
429,Real Madrid,a1,Sub,6,08/01/2010
430,Fiorentina,a31,Sub,72,07/23/2013
431,Bayer 04,a2,CAM,31,07/01/2016
432,Napoli,a3,Sub,5,07/22/2015
433,Celta Vigo,a13,CAM,8,06/29/2014
434,FC Barcelona,a1,Sub,20,11/10/2010
436,Southampton,a8,ST,20,01/31/2017
437,VfL Wolfsburg,a7,Sub,23,05/17/2016
438,Bor. M'gladbach,a2,RM,7,07/01/2010
439,Sporting CP,a11,RCB,13,01/31/2017
440,Beikta,a16,LDM,15,06/08/2012
442,Manchester Utd,a9,Sub,4,07/01/2011
443,West Ham,a1,Sub,13,07/01/2013
444,Juventus,a3,Sub,25,07/03/2015
445,Celta Vigo,a1,RB,2,07/01/2009
446,VfL Wolfsburg,a2,RAM,11,07/01/2016
448,1899 Hoffenheim,a2,GK,1,07/01/2014
449,CSKA Moscow,a25,RB,2,07/01/2012
450,Villarreal CF,a8,LM,20,08/02/2016
451,FC Porto,a15,RM,17,08/31/2015
452,Olym. Lyonnais,a7,RCM,21,07/01/2009
453,PSG,a7,Sub,16,01/01/2009
454,VfL Wolfsburg,a16,LAM,10,01/05/2017
455,SL Benfica,a5,RM,18,07/01/2012
456,Roma,a8,Sub,92,01/26/2016
457,Torino,a1,RW,14,08/01/2014
458,FC Augsburg,a18,GK,35,07/01/2013
459,Bor. M'gladbach,a7,Sub,25,01/04/2017
460,Arsenal,a7,LDM,34,09/23/2008
461,Bor. Dortmund,a2,Sub,29,07/01/2008
463,Sevilla FC,a3,Sub,19,07/21/2016
464,FC Krasnodar,a25,ST,90,07/01/2015
465,FC Rostov,a29,LCM,16,07/29/2015
467,Leicester City,a2,Sub,21,07/01/2016
468,Arsenal,a9,LM,23,09/01/2014
469,Leicester City,a9,RCM,4,01/01/2012
471,Manchester Utd,a8,Sub,36,07/11/2015
473,Roma,a5,Sub,8,01/01/2016
474,West Ham,a8,Sub,21,07/10/2015
475,Werder Bremen,a2,LS,10,08/02/2016
476,SL Benfica,a23,RS,11,07/01/2016
479,Fenerbahe,a10,RM,77,07/15/2015
481,Inter,a8,Sub,23,07/01/2012
482,Real Madrid,a1,Sub,13,07/19/2015
483,Arsenal,a1,LB,18,01/31/2013
484,Spartak Moscow,a2,Sub,35,08/30/2013
485,Celta Vigo,a13,Sub,5,01/15/2016
488,Liverpool,a3,Sub,21,05/11/2007
490,PSV,a15,LCB,3,08/15/2015
491,Inter,a5,LB,15,07/30/2016
492,Celta Vigo,a17,LCM,18,07/01/2015
493,FC Schalke 04,a1,Res,23,08/03/2016
494,PSV,a15,CDM,18,07/01/2015
495,Villarreal CF,a15,Sub,8,07/10/2014
496,Southampton,a9,LB,21,02/02/2015
497,SL Benfica,a3,Sub,33,01/01/2011
498,CA Osasuna,a8,GK,25,07/01/2011
499,Crystal Palace,a7,LCM,7,07/10/2015
502,Celta Vigo,a5,RCB,22,06/30/2014
503,Milan,a8,RCB,29,02/02/2015
504,Swansea City,a12,GK,1,07/01/2014
505,West Brom,a9,GK,1,07/01/2012
507,FC Krasnodar,a21,RCB,6,08/16/2013
508,FC Porto,a15,Sub,16,07/01/2013
509,CSKA Moscow,a25,GK,35,01/01/2002
510,San Lorenzo,a5,RCM,16,01/25/2016
512,Bologna,a8,GK,83,07/03/2015
513,Lazio,a8,GK,22,07/01/2011
514,Liverpool,a9,LB,7,07/01/2015
515,Spurs,a10,Sub,13,07/23/2014
516,FC Augsburg,a2,LDM,10,01/31/2010
517,Beikta,a44,RDM,13,07/31/2013
518,Fenerbahe,a16,RDM,5,07/01/2012
519,Chicago Fire,a2,LCM,31,03/21/2017
520,Hamburger SV,a2,GK,1,07/01/2012
521,Giron. Bordeaux,a7,CDM,14,06/29/2016
522,Everton,a9,RCB,6,07/04/2007
523,Chievo Verona,a8,GK,70,07/06/2016
524,Fenerbahe,a10,Sub,10,07/14/2015
525,Everton,a9,Sub,18,07/08/2014
526,Roma,a8,Sub,10,01/01/1993
527,Milan,a8,GK,99,07/01/2015
528,SL Benfica,a6,RB,50,07/01/2013
529,RC Deportivo,a32,ST,10,07/22/2016
532,Real Betis,a3,Sub,5,07/01/2015
533,SL Benfica,a21,LCB,14,01/01/2014
535,AS Monaco,a7,LDM,14,07/29/2014
536,Bor. M'gladbach,a2,LDM,8,07/01/2013
537,Sporting CP,a6,Sub,35,07/01/2013
538,SL Benfica,a6,Sub,27,08/31/2016
539,SD Eibar,a1,LDM,14,07/01/2012
540,SL Benfica,a5,Sub,2,09/03/2013
541,Atltico Madrid,a5,Sub,11,12/13/2014
542,Bor. M'gladbach,a17,RCB,3,04/10/2013
544,FC Krasnodar,a25,GK,1,07/01/2016
545,Liverpool,a4,Sub,27,07/29/2014
546,FC Schalke 04,a2,Sub,7,10/30/2012
547,Valencia CF,a1,LB,14,09/13/2012
548,Torino,a8,RCM,15,07/01/2014
549,SC Braga,a6,CAM,23,07/01/2013
551,Valencia CF,a6,Sub,2,05/26/2015
552,Milan,a8,LCB,13,08/11/2015
553,Napoli,a12,RCM,20,08/09/2016
554,Roma,a3,RM,13,09/06/2014
555,OGC Nice,a6,Sub,21,07/01/2013
556,FC Porto,a1,CM,30,05/01/2012
558,Liverpool,a2,Sub,23,07/03/2014
559,Bor. Dortmund,a2,Sub,28,07/17/2014
560,Sevilla FC,a5,Sub,9,07/01/2015
561,Athletic Bilbao,a1,GK,26,07/01/2012
562,VfL Wolfsburg,a2,CAM,27,10/10/2011
563,OGC Nice,a7,Sub,14,08/28/2014
564,Villarreal CF,a25,Sub,7,07/01/2016
566,Shakhtar Donetsk,a3,Sub,10,08/08/2013
567,Torino,a8,LCM,8,07/10/2015
568,Napoli,a12,Sub,99,08/02/2016
569,FC Bayern,a1,Sub,18,07/07/2014
571,Feyenoord,a3,RCB,33,08/13/2015
572,Manchester City,a9,RCB,24,08/09/2016
573,Bor. M'gladbach,a17,LCB,4,07/01/2016
574,Valencia CF,a8,ST,12,07/07/2015
575,Olym. Lyonnais,a1,Sub,14,08/31/2015
576,Spartak Moscow,a3,RDM,11,07/18/2016
577,Olym. Lyonnais,a10,LW,9,01/20/2017
578,UD Las Palmas,a1,LM,10,08/08/2016
579,PSG,a4,RB,12,07/03/2016
580,Spurs,a9,RCB,15,08/02/2014
581,Swansea City,a5,RCB,33,08/20/2014
582,Villarreal CF,a8,Sub,18,08/07/2016
583,Middlesbrough,a11,Sub,21,07/29/2016
585,Arsenal,a3,Sub,5,01/28/2015
586,Hertha BSC,a28,CAM,6,07/18/2015
587,Southampton,a6,RB,2,06/18/2015
588,Napoli,a8,Sub,62,06/30/2016
589,FC Lorient,a7,GK,40,06/01/2010
590,FC Barcelona,a7,Sub,19,07/13/2016
591,FC Barcelona,a1,Sub,17,08/30/2016
593,UD Las Palmas,a1,RCM,4,07/01/2010
594,RC Deportivo,a16,CAM,8,07/01/2016
595,FC Porto,a6,Sub,20,07/01/2015
597,Real Madrid,a3,Sub,23,07/01/2015
598,Sevilla FC,a1,RM,17,07/01/2016
599,Arsenal,a9,RDM,15,08/08/2011
600,1. FC Kln,a2,RDM,6,07/01/2016
601,SD Eibar,a7,LCB,20,07/01/2016
602,Stoke City,a7,Sub,21,02/01/2016
603,Sounders FC,a11,RM,10,07/27/2016
604,FC Schalke 04,a8,Sub,18,01/25/2017
605,VfL Wolfsburg,a10,RCB,5,07/01/2016
606,Real Sociedad,a3,ST,12,07/31/2016
608,M laga CF,a1,RM,20,07/01/2016
609,Free Agents,a3,Res,99,01/20/2016
610,Toulouse FC,a17,LAM,9,08/16/2013
611,Villarreal CF,a1,LB,11,07/01/2010
612,AS Saint-tienne,a7,RM,21,07/19/2012
613,Sevilla FC,a1,LB,18,07/03/2015
614,Chelsea,a1,LWB,3,08/31/2016
615,FC Schalke 04,a2,Sub,24,07/01/2009
618,PSV,a10,GK,1,07/01/2009
619,Real Sociedad,a1,CM,4,08/26/2015
621,Valencia CF,a7,LCB,5,08/11/2014
622,Real Sociedad,a1,Sub,16,01/31/2014
623,Athletic Bilbao,a1,LB,24,07/01/2013
624,Olym. Lyonnais,a3,Sub,20,08/09/2015
625,1899 Hoffenheim,a2,CM,6,08/24/2010
626,Rubin Kazan,a3,ST,22,08/01/2016
627,Bayer 04,a18,LCB,6,08/23/2016
628,West Ham,a5,CAM,10,07/01/2016
631,Olym. Lyonnais,a39,Sub,3,06/29/2016
632,Medipol Baakehir,a16,GK,1,08/20/2014
634,FC Krasnodar,a25,Sub,7,01/01/2014
635,Zenit,a25,ST,22,07/01/2015
636,Spartak Moscow,a3,Sub,33,07/01/2015
637,Rubin Kazan,a7,LDM,4,01/23/2013
638,Arsenal,a9,Sub,3,09/10/2007
639,Sevilla FC,a3,RB,3,07/21/2015
641,Manchester City,a3,Sub,6,06/27/2014
642,West Brom,a5,Sub,5,07/01/2012
643,RCD Espanyol,a1,Sub,1,07/01/2016
644,Spurs,a7,Sub,17,08/31/2016
645,FC Porto,a11,RB,2,07/15/2015
